ComplexQuestions 查询图排序Top-N趋势
1 0.38349724074831765
5 0.486542276876287
10 0.5338792965444977
15 0.563077295640197
20 0.5727304378303835
25 0.5773069393811701
30 0.5934545745552381
35 0.597208567748795
40 0.6026049449771684
45 0.6037887117987455
50 0.6075419593079265
最优重排序模型在top-n上的性能
1   0.3835
5   0.4127
10  0.4284
15  0.4299
20  0.4303
25  0.4269
30  0.4292
35  0.4295
40  0.4294
45  0.4280
50  0.4280


WebQuestions 查询图排序Top-N趋势
1 0.5244053738837339
5 0.6712056664046079
10 0.7115956670630588
15 0.7318148888316476
20 0.7450509936392976
25 0.751474589721664
30 0.7548128356770202
35 0.7573970493583609
40 0.7603384312312113
45 0.7606400597945229
50 0.7647996140253427
最优重排序模型在top-n上的性能
1   0.5244
5   0.5552
10  0.5574
15  0.5592
20  0.5602
25  0.5602
30  0.5610
35  0.5600
40  0.5585
45  0.5581
50  0.5574

